,Name,Code
0,ABROLHOS,A422
1,ACARAU,A360
2,AFONSO CLAUDIO,A657
3,AGUA BOA,A908
4,AGUA CLARA,A756
5,AGUAS EMENDADAS,A045
6,AGUAS VERMELHAS,A549
7,AIMORES,A534
8,ALEGRE,A617
9,ALEGRETE,A826
10,ALFREDO CHAVES,A615
11,ALMAS,A053
12,ALMENARA,A508
13,ALTA FLORESTA,A924
14,ALTAMIRA,A253
15,ALTO ARAGUAIA,A909
16,ALTO PARAISO DE GOIAS,A024
17,ALTO PARNAIBA,A223
18,ALTO TAQUARI,A934
19,ALVORADA DO GURGUEIA,A336
20,AMAMBAI,A750
21,AMARGOSA,A434
22,ANGELICA,S701
23,ANGICAL DO PIAUI,A377
24,ANGRA DOS REIS,A628
25,APIACAS,A910
26,APODI,A340
27,APUI,A113
28,AQUIDAUANA,A719
29,ARACAJU,A409
30,ARACUAI,A566
31,ARAGARCAS,A013
32,ARAGUACU,A054
33,ARAGUAINA,A021
34,ARAGUATINS,A044
35,ARAL MOREIRA,S702
36,ARAPIRACA,A353
37,ARARANGUA,A867
38,ARAXA,A505
39,ARCO VERDE,A309
40,AREIA,A310
41,ARIQUEMES,A940
42,ARIRANHA,A736
43,ARRAIAL DO CABO,A606
44,AUTAZES,A120
45,AVARE,A725
46,BACABAL,A220
47,BAGE,A827
48,BAIXA GRANDE DO RIBEIRO,A375
49,BALIZA,S113
50,BALSAS,A204
51,BAMBUI,A565
52,BANDEIRANTES,S703
53,BARBACENA,A502
54,BARBALHA,A315
55,BARCELOS,A128
56,BARRA,A429
57,BARRA BONITA,A741
58,BARRA DO CORDA,A221
59,BARRA DO TURVO,A746
60,BARREIRAS,A402
61,BARRETOS,A748
62,BARUERI,A755
63,BATAGUASSU,A759
64,BAURU,A705
65,BEBEDOURO,A764
66,BELA VISTA,A757
67,BELEM,A201
68,BELMONTE,A447
69,BELO HORIZONTE - CERCADINHO,F501
70,BENTO GONCALVES,A840
71,BERTIOGA,A765
72,BOA VISTA,A135
73,BOCA DO ACRE,A110
74,BOM JARDIM DA SERRA - MORRO DA IGREJA,A845
75,BOM JESUS DA LAPA,A418
76,BOM JESUS DO PIAUI,A326
77,BONFIM,S122
78,BONITO,S704
79,BRAGANCA,A226
80,BRAGANCA PAULISTA,A744
81,BRASILANDIA,S705
82,BRASILIA,A001
83,BRASNORTE (NOVO MUNDO),A927
84,BRAZLANDIA,A042
85,BREJO GRANDE,A421
86,BREVES,A228
87,BRUMADO,A433
88,BURITICUPU,A238
89,BURITIRAMA,A432
90,BURITIS,A544
91,CAARAPO,S706
92,CABACEIRAS,A348
93,CABROBO,A329
94,CACADOR,A859
95,CACAPAVA DO SUL,A812
96,CACHOEIRA PAULISTA,A769
97,CACOAL,A939
98,CAIAPONIA,A023
99,CAICO,A316
100,CALCANHAR,A344
101,CALDAS,A530
102,CAMAPUA,S707
103,CAMAQUA,A838
104,CAMARATUBA,A352
105,CAMBARA DO SUL,A897
106,CAMBUCI,A604
107,CAMETA,A236
108,CAMPINA DA LAGOA,B803
109,CAMPINA GRANDE,A313
110,CAMPINA VERDE,A519
111,CAMPO BOM,A884
112,CAMPO GRANDE,A702
113,CAMPO MAIOR,A376
114,CAMPO NOVO DOS PARECIS,A905
115,CAMPO VERDE,A912
116,CAMPOS DO JORDAO,A706
117,CAMPOS DOS GOYTACAZES,A607
118,CAMPOS DOS GOYTACAZES - SAO TOME,A620
119,CAMPOS LINDOS,A043
120,CAMPOS NOVOS,A898
121,CAMPOS SALES,A347
122,CANELA,A879
123,CANGUCU,A811
124,CANTO DO BURITI,A365
125,CAPAO DO LEAO (PELOTAS),A887
126,CAPELINHA,A541
127,CAPITAO POCO,A248
128,CARACOL,A337
129,CARATINGA,A554
130,CARAVELAS,A405
131,CARIRA,A420
132,CARLINDA,A926
133,CARMO,A629
134,CAROLINA,A205
135,CARUARU,A341
136,CASA BRANCA,A738
137,CASSILANDIA,A742
138,CASTANHAL,A202
139,CASTELO DO PIAUI,A361
140,CASTRO,A819
141,CATALAO,A034
142,CAXIAS,A237
143,CEREJEIRAS,S106
144,CHAPADA GAUCHA,A548
145,CHAPADAO DO SUL,A730
146,CHAPADINHA,A206
147,CHAPECO,A895
148,CIDADE GAUCHA,A869
149,CLEVELANDIA,A876
150,COARI,A117
151,COLINAS,A222
152,COLINAS DO TOCANTINS,A049
153,COLOMBO,B806
154,COMODORO,A913
155,CONCEICAO DAS ALAGOAS,A520
156,CONCEICAO DO ARAGUAIA,A241
157,CONDE,A431
158,CORONEL PACHECO,A557
159,CORRENTE,A374
160,CORRENTINA,A416
161,CORUMBA,A724
162,CORURIPE,A355
163,COSTA RICA,A760
164,COTRIGUACU,A919
165,COXIM,A720
166,CRATEUS,A342
167,CRISTALINA,A036
168,CRISTALINA (FAZENDA SANTA MONICA),A056
169,CRMN MANAUS,S103
170,CRUZ ALTA,A853
171,CRUZ DAS ALMAS,A406
172,CRUZEIRO DO SUL,A108
173,CUIABA,A901
174,CURACA,A448
175,CURITIBA,A807
176,CURITIBANOS,A860
177,CURVELO,A538
178,DELFINO,A443
179,DIAMANTE DO NORTE,A849
180,DIAMANTINA,A537
181,DIANOPOLIS,A038
182,DIONISIO CERQUEIRA,A848
183,DIVINOPOLIS,A564
184,DOIS VIZINHOS,A843
185,DOM ELISEU,A252
186,DOM ELISEU,S107
187,DOM PEDRITO,A881
188,DORES DO INDAIA,A536
189,DOURADOS,A721
190,DRACENA,A762
191,DTCEA GUAJARA-MIRIM,S110
192,DTCEA JACAREACANGA,S120
193,DTCEA TABATINGA,S105
194,DTCEA TEFE,S117
195,DTCEA VILHENA,S104
196,DUQUE DE CAXIAS - XEREM,A603
197,ECOPORANGA,A631
198,EDEIA,A029
199,EIRUNEPE,A109
200,ENCRUZILHADA DO SUL,A893
201,EPITACIOLANDIA,A140
202,ERECHIM,A828
203,ESPINOSA,A543
204,ESTREITO,A224
205,EUCLIDES DA CUNHA,A442
206,FAROL de SANTANA,A217
207,FATIMA DO SUL,S708
208,FEIJO,A138
209,FEIRA DE SANTANA,A413
210,FLORESTA,A351
211,FLORESTAL,A535
212,FLORIANO,A311
213,FLORIANOPOLIS,A806
214,FORMIGA,A524
215,FORMOSO DO ARAGUAIA,A039
216,FORMOSO DO RIO PRETO,A452
217,FORTALEZA,A305
218,FORTE PRINCIPE,S101
219,FOZ DO IGUACU,A846
220,FRANCA,A708
221,FREDERICO WESTPHALEN,A854
222,GAMA (PONTE ALTA),A046
223,GARANHUNS,A322
224,GAUCHA DO NORTE,A930
225,GENERAL CARNEIRO,A875
226,GILBUES,A364
227,GOIANESIA,A022
228,GOIANIA,A002
229,GOIAS,A014
230,GOIOERE,A825
231,GOVERNADOR VALADARES,A532
232,GRAJAU,A207
233,GUANAMBI,A426
234,GUANHAES,A533
235,GUARAMIRANGA,A314
236,GUARANTA DO NORTE,A906
237,GUARDA-MOR,A546
238,GUIRATINGA,A932
239,GURUPI,A019
240,HUMAITA,A112
241,IBIMIRIM,A349
242,IBIRITE (ROLA MOCA),A555
243,IBIRUBA,A883
244,IBITINGA,A737
245,IBOTIRAMA,A439
246,ICARAIMA,A824
247,IGUAPE,A712
248,IGUATEMI,S709
249,IGUATU,A319
250,ILHEUS,A410
251,IMPERATRIZ,A225
252,INACIO MARTINS,A823
253,INDAIAL,A817
254,IPANGUACU,A372
255,IPIAU,A445
256,IPORA,A028
257,IRECE,A424
258,ITABAIANA,A451
259,ITABAIANINHA,A417
260,ITABERABA,A408
261,ITACOATIARA,A121
262,ITAITUBA,A231
263,ITAJAI,A868
264,ITAMARAJU,A455
265,ITAOBIM,A550
266,ITAPACI,A015
267,ITAPETINGA,A446
268,ITAPEVA,A714
269,ITAPIPOCA,A359
270,ITAPIRA,A739
271,ITAPOA,A851
272,ITAPORA,S710
273,ITAPORANGA,A373
274,ITAQUIRAI,A752
275,ITATIAIA,A635
276,ITAUBAL,A251
277,ITIQUIRA,A933
278,ITIRUCU,A407
279,ITUIUTABA,A512
280,ITUMBIARA,A035
281,ITUPORANGA,A863
282,ITUVERAVA,A753
283,IVAI,A818
284,IVINHEMA,A709
285,JACOBINA,A440
286,JAGUARAO,A836
287,JAGUARIBE,A358
288,JAGUARUANA,A339
289,JALES,A733
290,JANAUBA,A563
291,JANUARIA,A559
292,JAPIRA,A871
293,JARDIM,A758
294,JATAI,A016
295,JEREMOABO,A450
296,JOACABA,A841
297,JOAO PESSOA,A320
298,JOAO PINHEIRO,A553
299,JOAQUIM TAVORA,A821
300,JOSE BONIFACIO,A735
301,JUARA,A914
302,JUINA,A920
303,JUIZ DE FORA,A518
304,JUTI,A749
305,LABREA,A111
306,LAGES,A865
307,LAGOA DA CONFUSAO,A055
308,LAGOA VERMELHA,A844
309,LAGUNA CARAPA,S711
310,LARANJEIRAS DO SUL,B804
311,LENCOIS,A425
312,LINHARES,A614
313,LINS,A727
314,LUIZ EDUARDO MAGALHAES,A404
315,LUZIANIA,A012
316,Laguna  - Farol de Santa Marta,A866
317,MACAE,A608
318,MACAJUBA,A412
319,MACAPA,A249
320,MACAU,A317
321,MACEIO,A303
322,MACHADO,A567
323,MAJOR VIEIRA,A864
324,MAL. CANDIDO RONDON,A820
325,MANACAPURU,A119
326,MANAUS,A101
327,MANHUACU,A556
328,MANICORE,A133
329,MANTENA,A540
330,MARABA,A240
331,MARACAJU,A731
332,MARAU,A438
333,MARECHAL THAUMATURGO,A137
334,MARIA DA FE,A531
335,MARIANOPOLIS DO TO,A041
336,MARILANDIA,A632
337,MARILIA,A763
338,MARINGA,A835
339,MATEIROS,A040
340,MAUES,A122
341,MEDICILANDIA,A209
342,MINA DO PALITO,A246
343,MINEIROS,A026
344,MIRANDA,A722
345,MOCAMBINHO,A539
346,MONTALVANIA,A526
347,MONTE ALEGRE,A239
348,MONTE ALEGRE DE GOIAS,A032
349,MONTE VERDE,A509
350,MONTEIRO,A334
351,MONTES CLAROS,A506
352,MORADA NOVA,A332
353,MORRETES,A873
354,MORRINHOS,A003
355,MOSSORO,A318
356,MOSTARDAS,A878
357,MURIAE,A517
358,NATAL,A304
359,NHUMIRIM,A717
360,NITEROI,A627
361,NOSSA SENHORA DA GLORIA,A453
362,NOVA ALVORADA DO SUL,S712
363,NOVA ANDRADINA,S713
364,NOVA FATIMA,A842
365,NOVA FRIBURGO - SALINAS,A624
366,NOVA MARINGA,A928
367,NOVA TEBAS,A822
368,NOVA UBIRATA,A929
369,NOVA VENECIA,A623
370,NOVO ARIPUANA,A144
371,NOVO HORIZONTE,A816
372,NOVO REPARTIMENTO,A235
373,OBIDOS,A232
374,OEIRAS,A354
375,OIAPOQUE,A242
376,OLIVEIRA,A570
377,OURICURI,A366
378,OURINHOS,A716
379,OURO BRANCO,A513
380,PACAJA,A210
381,PACARAIMA,S114
382,PALMARES,A357
383,PALMAS,A009
384,PALMEIRA DAS MISSOES,A856
385,PALMEIRA DOS INDIOS,A327
386,PAMPULHA,A521
387,PAO DE ACUCAR,A323
388,PARACATU,A571
389,PARAGOMINAS,A212
390,PARANA,A010
391,PARANAIBA,A710
392,PARANAPOEMA,A850
393,PARANATINGA,A915
394,PARANOA (COOPA-DF),A047
395,PARATI,A619
396,PARAUNA,A027
397,PARINTINS,A123
398,PARNAIBA,A308
399,PARQUE ESTADUAL CHANDLESS,A102
400,PASSA QUATRO,A529
401,PASSO FUNDO,A839
402,PASSOS,A516
403,PATOS,A321
404,PATOS DE MINAS,A562
405,PATROCINIO,A523
406,PAULISTANA,A330
407,PEDRO AFONSO,A020
408,PEDRO GOMES,S714
409,PEF ESTIRAO DO EQUADOR,S116
410,PEF IPIRANGA,S102
411,PEF YAUARETE,S115
412,PEIXE,A018
413,PETROLINA,A307
414,PIATA,A430
415,PICO DO COUTO,A610
416,PICOS,A343
417,PILAO ARCADO,A449
418,PIRACICABA,A726
419,PIRANHAS,A371
420,PIRAPORA,A545
421,PIRES DO RIO,A033
422,PIRIPIRI,A335
423,PIUM,A051
424,PLACAS,A211
425,PLANALTO,A855
426,POCO VERDE,A419
427,PONTA PORA,A703
428,PONTES E LACERDA,A937
429,PORANGATU,A005
430,PORTO ALEGRE,A801
431,PORTO ESTRELA,A935
432,PORTO GRANDE,A244
433,PORTO MURTINHO,A723
434,PORTO SEGURO,A427
435,PORTO VELHO,A925
436,PORTO WALTER,A136
437,POSSE,A017
438,PRADOPOLIS,A747
439,PREGUICAS,A218
440,PRES. KENNEDY,A622
441,PRESIDENTE FIGUEIREDO,A126
442,PRESIDENTE PRUDENTE,A707
443,PRIMAVERA DO LESTE,A923
444,QUARAI,A831
445,QUEIMADAS,A436
446,QUIXADA,A369
447,QUIXERAMOBIM,A325
448,RANCHARIA,A718
449,RANCHO QUEIMADO,A870
450,RECIFE,A301
451,REDENCAO,A254
452,REGISTRO,A766
453,REMANSO,A423
454,RESENDE,A609
455,RIBAS DO RIO PARDO,S715
456,RIBEIRA DO AMPARO,A458
457,RIO BRANCO,A104
458,RIO BRILHANTE,A743
459,RIO CLARO,A626
460,RIO DE JANEIRO - FORTE DE COPACABANA,A652
461,RIO DE JANEIRO - JACAREPAGUA,A636
462,RIO DE JANEIRO - VILA MILITAR,A621
463,RIO DE JANEIRO-MARAMBAIA,A602
464,RIO DO CAMPO,A861
465,RIO GRANDE,A802
466,RIO NEGRINHO,A862
467,RIO PARDO,A813
468,RIO PARDO DE MINAS,A551
469,RIO SONO,A050
470,RIO URUBU,A125
471,RIO VERDE,A025
472,RONDON DO PARA,A214
473,RONDONOPOLIS,A907
474,ROSARIO OESTE,A944
475,S. G. DA CACHOEIRA,A134
476,S.J. DO RIO CLARO,A903
477,SACRAMENTO,A525
478,SALGUEIRO,A370
479,SALINAS,A552
480,SALINOPOLIS,A215
481,SALTO DO CEU,A936
482,SALVADOR,A401
483,SALVADOR (RADIO FAROL),A456
484,SANTA CRUZ,A367
485,SANTA FE DO ARAGUAIA,A048
486,SANTA ISABEL DO RIO NEGRO,S121
487,SANTA MARIA,A803
488,SANTA MARIA DAS BARREIRAS,A256
489,SANTA MARIA MADALENA,A630
490,SANTA RITA DE CASSIA,A415
491,SANTA RITA DO PARDO,S716
492,SANTA ROSA,A810
493,SANTA ROSA DO TOCANTINS,A052
494,SANTA TERESA,A613
495,SANTANA DO ARAGUAIA,A233
496,SANTANA DO LIVRAMENTO,A804
497,SANTAREM,A250
498,SANTIAGO,A833
499,SANTO ANTONIO DO LESTE,A931
500,SANTO AUGUSTO,A805
501,SAO BENTO,S108
502,SAO BORJA,A830
503,SAO CARLOS,A711
504,SAO FELIX  DO ARAGUAIA,A921
505,SAO FELIX DO XINGU,A216
506,SAO GABRIEL,A832
507,SAO GABRIEL DO OESTE,A732
508,SAO GONCALO,A333
509,SAO JOAO DEL REI,A514
510,SAO JOAO DO PIAUI,A331
511,SAO JOAQUIM,A815
512,SAO JOSE DO XINGU,A942
513,SAO JOSE DOS AUSENTES,A829
514,SAO LUIS,A203
515,SAO LUIS DO PARAITINGA,A740
516,SAO LUIS DO QUITUNDE,A356
517,SAO LUIZ GONZAGA,A852
518,SAO MATEUS,A616
519,SAO MATEUS DO SUL,A874
520,SAO MIGUEL ARCANJO,A715
521,SAO MIGUEL DO ARAGUAIA,A031
522,SAO MIGUEL DO OESTE,A857
523,SAO PAULO - INTERLAGOS,A771
524,SAO PAULO - MIRANTE,A701
525,SAO RAIMUNDO NONATO,A345
526,SAO ROMAO,A547
527,SAO SEBASTIAO,A767
528,SAO SEBASTIAO DO PARAISO,A561
529,SAO SIMAO,A011
530,SAO SIMAO,A770
531,SAO VICENTE DO SUL,A889
532,SAPEZAL,A911
533,SAQUAREMA - SAMPAIO CORREIA,A667
534,SELVIRIA,S717
535,SENHOR DO BONFIM,A428
536,SERAFINA CORREA,A894
537,SEROPEDICA-ECOLOGIA AGRICOLA,A601
538,SERRA DOS AIMORES,A522
539,SERRA DOS CARAJAS,A230
540,SERRA NOVA DOURADA,A943
541,SERRA TALHADA,A350
542,SERRINHA,A441
543,SETE LAGOAS,A569
544,SETE QUEDAS,A751
545,SIDROLANDIA,A754
546,SILVA JARDIM,A659
547,SILVANIA,A037
548,SINOP,A917
549,SOBRAL,A306
550,SOLEDADE,A837
551,SONORA,A761
552,SOROCABA,A713
553,SORRISO,A904
554,SOURE,A227
555,SURUBIM,A328
556,Santa Vitoria do Palmar - Barra do Chui,A899
557,TANGARA DA SERRA,A902
558,TAUA,A324
559,TAUBATE,A728
560,TEOFILO OTONI,A527
561,TERESINA,A312
562,TERESOPOLIS-PARQUE NACIONAL,A618
563,TEUTONIA,A882
564,TIANGUA,A368
565,TIMOTEO,A511
566,TOME ACU,A213
567,TORRES,A808
568,TRAMANDAI,A834
569,TRES LAGOAS,A704
570,TRES MARIAS,A528
571,TRES RIOS,A625
572,TUCUMA,A234
573,TUCURUI,A229
574,TUPA,A768
575,TUPANCIRETA,A886
576,TURIACU,A219
577,UAUA,A435
578,UBERABA,A568
579,UBERLANDIA,A507
580,ULIANOPOLIS,S111
581,UNA,A437
582,UNAI,A542
583,URUCARA,A124
584,URUCUI,A346
585,URUGUAIANA,A809
586,URUSSANGA,A814
587,VACARIA,A880
588,VALENCA,A611
589,VALENCA,A444
590,VALENCA DO PIAUI,A363
591,VALPARAISO,A734
592,VARGINHA,A515
593,VENDA NOVA DO IMIGRANTE,A633
594,VENTANIA,A872
595,VICOSA,A510
596,VILA BELA DA SANTISSIMA TRINDADE,A922
597,VILA VELHA,A634
598,VILHENA,A938
599,VITORIA,A612
600,VITORIA DA CONQUISTA,A414
601,VOTUPORANGA,A729
602,XANXERE,A858
603,XINGUARA,A247
604,ZE DOCA,A255
